Player,Age,Tm,Pos,GP,G,A,PTS,PLMI,PIM,PS,EV,STPP,STSH,GW,EVA,PPA,SHA,S,SP,TTOI,BLK,HIT,FOW,FOL,FOP,CF,CA,CFP,CFPR,FF,FA,FFP,FFPR,OISH ,OISV ,PDO,OZS ,DZS ,TK,GV,EPLMI,TSA,THRUP,CAPHIT
Noel Acciari,31,TOT,C,77,14,9,23,-4,21,1.5,14,0,0,2,7,0,2,102,13.7,1102,81,244,337,289,53.8,215,228,48.5,-1,168,151,52.7,2.4,6.8,94.6,101.4,34.5,65.5,10,7,0.6,46,60.9,1250000
Michael Amadio,26,VEG,C,67,16,11,27,2,12,2.8,15,1,0,2,10,1,0,99,16.2,818,27,56,31,32,49.2,749,742,50.2,3,536,531,50.2,2.1,10.1,90.2,100.4,51.2,48.8,36,13,3.9,150,66,762500
Nils Åman,22,VAN,C,68,4,12,16,-12,18,-0.1,4,0,0,1,10,0,2,50,8,864,41,44,181,293,38.2,514,749,40.7,-8.7,379,535,41.5,-7.4,7.2,91.1,98.3,35.5,64.5,9,7,-9.1,82,61,883750
Jaret Anderson-Dolan,23,LAK,C,46,7,5,12,-11,2,0.6,7,0,0,2,4,1,0,54,13,488,29,61,23,16,59,397,434,47.8,-4.1,304,298,50.5,-3.2,8.1,85.4,93.6,57.9,42.1,4,7,-2.1,79,68.4,750000
Mason Appleton,27,WPG,C,41,5,11,16,2,8,1.1,4,1,0,0,11,0,0,71,7,657,11,47,2,8,20,545,526,50.9,-2.1,417,399,51.1,-1.3,8.3,91.6,99.9,46.6,53.4,12,11,4,109,65.1,2166667
Zach Aston-Reese,28,TOR,C,77,10,4,14,-6,25,0.7,10,0,0,2,4,0,0,89,11.2,841,43,163,7,7,50,601,702,46.1,-5.5,466,495,48.5,-3.7,6.4,92.2,98.6,35.9,64.1,18,12,-0.8,167,53.3,840630
Andreas Athanasiou,28,CHI,C,81,20,20,40,-29,34,3.1,17,3,0,4,16,4,0,175,11.4,1296,44,43,81,93,46.6,955,1216,44,0,728,902,44.7,0.7,8.7,89.5,98.1,51.7,48.3,58,49,-15.7,337,51.9,3000000
Mikael Backlund,33,CGY,C,82,19,37,56,24,36,5.6,13,5,1,2,27,7,3,260,7.3,1489,31,97,705,681,50.9,1319,857,60.6,4.7,993,653,60.3,4.9,8.8,90.9,99.6,54.3,45.7,60,43,20.2,424,61.3,5350000
Nicklas Bäckström,35,WSH,C,39,7,14,21,-25,14,0.8,1,6,0,0,9,5,0,59,11.9,658,23,24,259,255,50.4,485,521,48.2,-0.3,342,381,47.3,-0.7,6.4,85,91.4,55.8,44.2,16,22,0.2,118,50,9200000
Josh Bailey,33,NYI,C,64,8,17,25,3,2,1.9,8,0,0,2,14,3,0,72,11.1,969,31,11,40,56,41.7,749,805,48.2,-0.8,536,605,47,-2.3,9.2,91.8,101,58.6,41.4,21,47,-4,115,62.6,5000000
