Player,Age,Tm,Pos,GP,G,A,PTS,PLMI,PIM,PS,EV,STPP,STSH,GW,EVA,PPA,SHA,S,SP,TTOI,BLK,HIT,CF,CA,CFP,CFPR,FF,FA,FFP,FFPR,OISH ,OISV ,PDO,OZS ,DZS ,TK,GV,EPLMI,TSA,THRUP,CAPHIT
Calen Addison,22,MIN,D,62,3,26,29,-17,22,3.2,3,0,0,1,8,18,0,77,3.9,999,38,19,708,682,50.9,0.9,540,533,50.3,-0.6,8.1,88.2,96.3,59.4,40.6,11,21,0.1,155,49.7,795000
Sebastian Aho,26,NYI,D,71,5,18,23,9,22,4.6,5,0,0,0,16,2,0,89,5.6,1191,69,38,1117,999,52.8,4.7,812,740,52.3,4.4,9.9,90.9,100.9,60.4,39.6,14,38,5.7,183,48.6,8460250
Alexander Alexeyev,23,WSH,D,32,0,5,5,-2,4,0.9,0,0,0,0,5,0,0,28,0,527,48,33,394,489,44.6,-2.8,304,359,45.9,-0.4,9.8,91.2,101,35.7,64.3,3,16,-5.1,72,38.9,863333
Michael Anderson,23,LAK,D,77,5,15,20,20,40,5.2,4,1,0,1,14,0,1,90,5.6,1668,129,162,1253,1199,51.1,-1.5,954,874,52.2,-2.1,9.9,91.7,101.7,48.3,51.7,18,31,3.5,188,47.9,1000000
Rasmus Andersson,26,CGY,D,79,11,38,49,5,26,8,9,1,1,4,17,20,1,159,6.9,1903,136,50,1525,1340,53.2,-5.8,1154,1004,53.5,-4.6,9.1,89.8,98.9,55.7,44.3,29,51,9.5,304,52.3,4550000
Kevin Bahl,22,NJD,D,42,2,6,8,4,35,1.6,2,0,0,0,6,0,0,27,7.4,589,38,64,549,463,54.2,1,391,348,52.9,-1.4,8.9,91.7,100.6,57.2,42.8,8,12,5.5,79,34.2,795000
Tyson Barrie,31,TOT,D,85,13,42,55,-7,36,7,9,4,0,1,14,27,1,163,8,1681,90,55,1244,1336,48.2,-1.8,936,1027,47.7,-1.8,8.3,91.3,99.6,52.9,47.1,32,48,0.9,329,49.5,4500000
Justin Barron,21,MTL,D,39,4,11,15,-2,20,2.2,2,1,1,1,10,1,0,40,10,636,38,49,456,570,44.4,0.8,325,403,44.6,0.9,12,88.7,100.7,58.8,41.2,5,34,-6.7,93,43,925000
Gavin Bayreuther,28,CBJ,D,51,2,12,14,-18,23,1.2,2,0,0,0,11,1,0,61,3.3,813,71,54,686,813,45.8,1,484,592,45,0.6,7.5,89.3,96.8,51.5,48.5,9,9,-9.1,118,51.7,750000
Ethan Bear,25,VAN,D,61,3,13,16,6,25,2.9,3,0,0,1,12,0,1,75,4,1130,82,39,872,839,51,3,660,628,51.2,3.7,8.7,90.6,99.3,50.6,49.4,17,28,3.1,155,48.4,1800000
Nathan Beaulieu,30,ANA,D,52,0,4,4,-23,39,-0.5,0,0,0,0,4,0,0,33,0,792,80,49,522,806,39.3,-4.5,388,632,38,-5.3,8,89.8,97.8,35.7,64.3,10,16,-17.5,79,41.8,850000
Simon Benoit,24,ANA,D,78,3,7,10,-29,60,0.7,3,0,0,0,7,0,0,82,3.7,1509,128,216,1004,1424,41.4,-2,766,1111,40.8,-1.6,8.1,91.2,99.3,36.2,63.8,9,35,-32,175,46.9,750000
Tim Berni,22,CBJ,D,59,1,2,3,-26,34,-0.3,1,0,0,0,2,0,0,58,1.7,1001,74,122,836,986,45.9,0.6,615,733,45.6,1.1,7,89.2,96.2,43.5,56.5,19,25,-5.9,119,48.7,925000
Nick Blankenburg,24,CBJ,D,36,4,10,14,-16,16,1.4,4,0,0,1,6,4,0,50,8,690,49,61,566,653,46.4,1.1,424,488,46.5,1,8.7,88.1,96.8,50.9,49.1,12,13,-4.1,104,48.1,825000
Zach Bogosian,32,TBL,D,46,1,4,5,-4,42,0.8,1,0,0,0,4,0,0,54,1.9,689,50,114,637,643,49.8,-3.2,477,487,49.5,-3.1,7.8,92.1,99.9,51,49,5,25,-5.2,117,46.2,850000
Samuel Bolduc,22,NYI,D,17,2,1,3,5,2,1.1,2,0,0,1,1,0,0,20,10,245,16,26,230,218,51.3,-1.6,164,159,50.8,-1.7,9.2,96.1,105.3,65.4,34.6,2,13,0.6,49,40.8,842500
Adam Boqvist,22,CBJ,D,46,5,19,24,-12,8,3,5,0,0,1,10,9,0,68,7.4,857,47,23,685,723,48.7,4.6,520,556,48.3,4.7,10.7,88.8,99.5,66,34,11,24,-10.7,135,50.4,2600000
William Borgen,26,SEA,D,82,3,17,20,11,47,3.6,3,0,0,1,17,0,0,76,3.9,1342,89,203,1046,1024,50.5,-2.5,785,742,51.4,-2.2,10.9,89.4,100.3,39.6,60.4,14,23,4.9,167,45.5,900000
Robert Bortuzzo,33,STL,D,43,2,3,5,9,29,1.6,2,0,0,0,3,0,0,30,6.7,540,49,64,341,435,43.9,-1.3,261,308,45.9,0.9,12.4,93.8,106.2,46.1,53.9,7,12,-1.3,59,50.8,950000
Evan Bouchard,23,EDM,D,82,8,32,40,6,28,5.4,6,2,0,2,20,11,1,156,5.1,1518,77,95,1361,1012,57.4,7.5,1002,789,55.9,6.2,9.8,89.1,98.9,53.5,46.5,66,73,22.2,380,41.1,863333
Erik Brännström,23,OTT,D,74,2,16,18,5,38,3.6,2,0,0,0,15,1,0,74,2.7,1192,103,49,1079,857,55.7,5.2,788,613,56.2,5.1,8.2,90.5,98.7,55.1,44.9,28,48,4.1,200,37,900000
Justin Braun,35,PHI,D,51,0,2,2,-1,19,1,0,0,0,0,2,0,0,42,0,764,49,47,595,693,46.2,-2.3,441,495,47.1,-2.9,7.4,92.9,100.3,46.8,53.2,10,10,-4.7,100,42,1000000
Guillaume Brisebois,25,VAN,D,17,1,2,3,-2,6,0.4,1,0,0,0,2,0,0,15,6.7,281,27,11,169,280,37.6,-9.6,139,196,41.5,-5.8,9,90.6,99.6,37.9,62.1,1,6,-1.7,24,62.5,750000
Philip Broberg,21,EDM,D,46,1,7,8,6,2,1.4,1,0,0,0,7,0,0,32,3.1,580,35,28,539,399,57.5,4,392,296,57,3.5,9.8,88.4,98.2,54,46,12,26,7.4,72,44.4,863333
Jonas Brodin,29,MIN,D,60,3,11,14,13,30,4.4,3,0,0,0,9,0,2,90,3.3,1372,130,50,1116,1034,51.9,3.6,817,763,51.7,2.8,9.7,91.7,101.4,51.9,48.1,27,23,4.2,180,50,6000000
Jacob Bryson,25,BUF,D,59,1,8,9,-24,8,-0.4,1,0,0,0,7,0,1,27,3.7,861,69,34,712,710,50.1,-2.3,526,558,48.5,-2.5,7.5,87.7,95.3,52.5,47.5,13,8,-5.2,58,46.6,1850000
Brent Burns,37,CAR,D,82,18,43,61,19,44,11.4,14,4,0,2,24,19,0,255,7.1,1904,86,40,1769,1135,60.9,1.4,1321,891,59.7,0.5,8.8,90.5,99.3,59.5,40.5,55,52,20.7,554,46,5280000
Kyle Burroughs,27,VAN,D,48,2,3,5,-4,62,0.9,2,0,0,0,3,0,0,47,4.3,833,84,165,617,691,47.2,-1.2,467,508,47.9,-0.5,6.5,91.9,98.4,50.4,49.6,5,13,-1.2,92,51.1,750000
Bowen Byram,21,COL,D,42,10,14,24,7,38,4.5,7,2,1,1,10,4,0,65,15.4,919,54,82,764,731,51.1,-1.1,536,527,50.4,-1.5,9.6,91.4,101,49.3,50.7,13,20,-3.2,140,46.4,894167
Kyle Capobianco,25,WPG,D,14,2,0,2,1,6,0.7,2,0,0,1,0,0,0,14,14.3,173,6,12,154,120,56.2,7.4,118,91,56.5,7.5,8.2,90.9,99.1,61.4,38.6,6,7,2.2,34,41.2,762500
Brandon Carlo,26,BOS,D,75,3,13,16,44,38,6,3,0,0,0,11,0,2,94,3.2,1412,116,128,1010,1003,50.2,-1.1,777,733,51.5,-0.2,11.7,94.4,106.1,34.8,65.2,28,21,15.2,174,54,4100000
John Carlson,33,WSH,D,40,9,20,29,-7,12,4.2,5,3,1,0,11,9,0,124,7.3,936,87,42,769,744,50.8,2.6,587,536,52.3,4.3,9.5,87.9,97.4,63.1,36.9,21,33,3.6,261,47.5,8000000
Alexandre Carrier,26,NSH,D,43,2,7,9,0,27,2,2,0,0,1,7,0,0,48,4.2,769,67,57,591,617,48.9,0.5,439,462,48.7,0.3,7.9,92.7,100.7,43.1,56.9,14,12,-1.7,99,48.5,733333
Cody Ceci,29,EDM,D,80,1,14,15,11,24,2.7,1,0,0,0,14,0,0,88,1.1,1611,110,139,1222,1253,49.4,-4.2,927,965,49,-3.8,9.5,91.9,101.4,42.8,57.2,20,39,-0.7,192,45.8,3250000
